musicien,musicienLabel,image,sexe_ou_genre,sexe_ou_genreLabel,date_de_naissance
http://www.wikidata.org/entity/Q26305,Patryk Dominik Sztyber,http://commons.wikimedia.org/wiki/Special:FilePath/Behemoth%20Seth.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1979-08-04T00:00:00Z
http://www.wikidata.org/entity/Q26695,Lionel Richie,http://commons.wikimedia.org/wiki/Special:FilePath/Lionel%20Richie%202017.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1949-06-20T00:00:00Z
http://www.wikidata.org/entity/Q27214,Jerry Springer,http://commons.wikimedia.org/wiki/Special:FilePath/Jerry%20Springer%20at%20Emory.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1944-02-13T00:00:00Z
http://www.wikidata.org/entity/Q28256,Chris Broderick,http://commons.wikimedia.org/wiki/Special:FilePath/Megadeth%20%40%20Arena%20Joondalup%20%2812%2012%202010%29%20%285272639477%29.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1970-03-06T00:00:00Z
http://www.wikidata.org/entity/Q28256,Chris Broderick,http://commons.wikimedia.org/wiki/Special:FilePath/Chris%20Broderick%20Kiev.JPG,http://www.wikidata.org/entity/Q6581097,masculin,1970-03-06T00:00:00Z
http://www.wikidata.org/entity/Q29620,Johannes Schmoelling,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20Johannes%20Schm%C3%B6lling.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1950-11-09T00:00:00Z
http://www.wikidata.org/entity/Q29875,Amund Maarud,http://commons.wikimedia.org/wiki/Special:FilePath/Amund%20Maarud%20Piknik%20i%20Parken%202017%20%28150833%29.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1981-04-07T00:00:00Z
http://www.wikidata.org/entity/Q30570,David Draiman,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Draiman%202009.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1973-03-13T00:00:00Z
http://www.wikidata.org/entity/Q30800,AbdolReza Razmjoo,,http://www.wikidata.org/entity/Q6581097,masculin,1975-01-01T00:00:00Z
http://www.wikidata.org/entity/Q30896,Lalaine Vergaras-Paras,,http://www.wikidata.org/entity/Q6581072,féminin,1987-06-03T00:00:00Z
http://www.wikidata.org/entity/Q31013,Patti LaBelle,http://commons.wikimedia.org/wiki/Special:FilePath/Patti%20Labelle.jpg,http://www.wikidata.org/entity/Q6581072,féminin,1944-05-24T00:00:00Z
http://www.wikidata.org/entity/Q31733,Garou,http://commons.wikimedia.org/wiki/Special:FilePath/Garou%2020060613%20Fnac%2004.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1972-06-26T00:00:00Z
http://www.wikidata.org/entity/Q32221,Kristian Wåhlin,,http://www.wikidata.org/entity/Q6581097,masculin,1971-12-04T00:00:00Z
http://www.wikidata.org/entity/Q32259,Pavel Sporcl,http://commons.wikimedia.org/wiki/Special:FilePath/Pavel%20%C5%A0porcl%20%282018%29.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1973-04-25T00:00:00Z
http://www.wikidata.org/entity/Q32394,Valgeir Sigurðsson,http://commons.wikimedia.org/wiki/Special:FilePath/Valgeir%20Sigur%C3%B0sson%20-%20PopTech%202012%20-%20Reykjavik%20Iceland%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1971-01-01T00:00:00Z
http://www.wikidata.org/entity/Q32937,Domino,,http://www.wikidata.org/entity/Q6581097,masculin,1970-11-09T00:00:00Z
http://www.wikidata.org/entity/Q33072,Graham Bonney,http://commons.wikimedia.org/wiki/Special:FilePath/Graham%20bonney%202009%206505.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1943-06-02T00:00:00Z
http://www.wikidata.org/entity/Q34084,Monie Love,,http://www.wikidata.org/entity/Q6581072,féminin,1970-07-02T00:00:00Z
http://www.wikidata.org/entity/Q34086,Justin Bieber,http://commons.wikimedia.org/wiki/Special:FilePath/Justin%20Bieber%20in%202015.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1994-03-01T00:00:00Z
http://www.wikidata.org/entity/Q34166,Slash,http://commons.wikimedia.org/wiki/Special:FilePath/Slash%20live%20in%20Rome%20by%20Paride.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1965-07-23T00:00:00Z
http://www.wikidata.org/entity/Q34166,Slash,http://commons.wikimedia.org/wiki/Special:FilePath/Slash%201.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1965-07-23T00:00:00Z
http://www.wikidata.org/entity/Q34389,Whitney Houston,http://commons.wikimedia.org/wiki/Special:FilePath/Whitney%20Houston%20Welcome%20Home%20Heroes%201%20cropped.jpg,http://www.wikidata.org/entity/Q6581072,féminin,1963-08-09T00:00:00Z
http://www.wikidata.org/entity/Q34460,Gwyneth Paltrow,http://commons.wikimedia.org/wiki/Special:FilePath/Gwyneth%20Paltrow%20avp%20Iron%20Man%203%20Paris.jpg,http://www.wikidata.org/entity/Q6581072,féminin,1972-09-27T00:00:00Z
http://www.wikidata.org/entity/Q34584,Anastacia,http://commons.wikimedia.org/wiki/Special:FilePath/Anastacia%2C%20Women%27s%20World%20Awards%202009%20c.jpg,http://www.wikidata.org/entity/Q6581072,féminin,1968-09-17T00:00:00Z
http://www.wikidata.org/entity/Q34584,Anastacia,http://commons.wikimedia.org/wiki/Special:FilePath/Anastacia%20Resurrection%20Tour%20%28London%29.jpg,http://www.wikidata.org/entity/Q6581072,féminin,1968-09-17T00:00:00Z
http://www.wikidata.org/entity/Q34969,Benjamin Franklin,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Siffrein%20Duplessis%20-%20Benjamin%20Franklin%20-%20Google%20Art%20Project.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1706-01-17T00:00:00Z
http://www.wikidata.org/entity/Q35900,Omar Khayyam,http://commons.wikimedia.org/wiki/Special:FilePath/Omar%20Khayyam2.JPG,http://www.wikidata.org/entity/Q6581097,masculin,1048-05-24T00:00:00Z
http://www.wikidata.org/entity/Q36020,Su Shi,http://commons.wikimedia.org/wiki/Special:FilePath/Su%20shi.jpg,http://www.wikidata.org/entity/Q6581097,masculin,1037-01-14T00:00:00Z
http://www.wikidata.org/entity/Q36995,Miss Platnum,http://commons.wikimedia.org/wiki/Special:FilePath/Miss%20Platnum.jpg,http://www.wikidata.org/entity/Q6581072,féminin,1980-01-01T00:00:00Z
http://www.wikidata.org/entity/Q37325,Jimmie Lee Sloas,,http://www.wikidata.org/entity/Q6581097,masculin,1970-05-12T00:00:00Z
